epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.9764,1.63686,1.6765,1.34811,0.8659,0.78686,0.87806,0.45004,1.46094,1.25175,1.52303,0.000552509,0.000552509,0.000552509
2,173.726,1.61152,1.10648,1.32499,0.81975,0.81225,0.8659,0.42475,1.48019,1.19008,1.543,0.00107161,0.00107161,0.00107161
3,252.801,1.60918,1.0197,1.33473,0.88377,0.79986,0.89555,0.43874,1.66004,1.3205,1.75478,0.00155403,0.00155403,0.00155403
4,338.906,1.59556,0.91445,1.31777,0.87453,0.81993,0.91323,0.47355,1.44893,0.91346,1.50205,0.00150197,0.00150197,0.00150197
5,418.192,1.57107,0.86633,1.30901,0.91511,0.82539,0.92066,0.48467,1.44105,0.90331,1.50445,0.00144696,0.00144696,0.00144696
6,500.007,1.55956,0.82939,1.29512,0.91124,0.87021,0.9382,0.49904,1.4375,0.82627,1.4718,0.00139195,0.00139195,0.00139195
7,578.948,1.54446,0.80371,1.29097,0.91973,0.84936,0.93353,0.50753,1.37033,0.74084,1.43437,0.00133693,0.00133693,0.00133693
8,664.186,1.54137,0.7879,1.28574,0.89393,0.88071,0.92938,0.4919,1.50645,0.92195,1.57906,0.00128192,0.00128192,0.00128192
9,745.939,1.53063,0.7643,1.28003,0.90907,0.8806,0.94319,0.5074,1.32905,0.66267,1.38623,0.00122691,0.00122691,0.00122691
10,826.046,1.51768,0.75234,1.2741,0.95113,0.89814,0.96169,0.55194,1.30591,0.6505,1.38297,0.0011719,0.0011719,0.0011719
11,911.862,1.51593,0.73865,1.27299,0.90954,0.8833,0.94285,0.48326,1.53182,0.75186,1.58502,0.00111689,0.00111689,0.00111689
12,991.348,1.50197,0.72187,1.26528,0.93718,0.89305,0.96286,0.55049,1.25371,0.60819,1.32148,0.00106188,0.00106188,0.00106188
13,1074.27,1.49633,0.7227,1.26427,0.9317,0.90799,0.95784,0.55782,1.24888,0.61817,1.32173,0.00100687,0.00100687,0.00100687
14,1153.88,1.48663,0.71052,1.2554,0.92995,0.87432,0.93609,0.49554,1.44701,0.76823,1.52948,0.000951857,0.000951857,0.000951857
15,1240.02,1.47012,0.69825,1.25514,0.94032,0.90089,0.95842,0.55747,1.24259,0.60678,1.31512,0.000896846,0.000896846,0.000896846
16,1320.02,1.48574,0.69565,1.25557,0.94098,0.89362,0.95548,0.55829,1.24393,0.61136,1.31697,0.000841835,0.000841835,0.000841835
17,1404.24,1.47271,0.67654,1.24862,0.95514,0.9192,0.96765,0.58075,1.19642,0.55049,1.27918,0.000786824,0.000786824,0.000786824
18,1486.81,1.45925,0.67417,1.24052,0.94125,0.91736,0.96614,0.57048,1.20872,0.57082,1.29854,0.000731813,0.000731813,0.000731813
19,1571.01,1.45197,0.67121,1.24515,0.9581,0.9126,0.97003,0.58021,1.1942,0.54414,1.27355,0.000676802,0.000676802,0.000676802
20,1653.37,1.44891,0.6561,1.23478,0.94598,0.92712,0.96945,0.58138,1.19604,0.54265,1.27238,0.000621791,0.000621791,0.000621791
21,1734.66,1.45191,0.62071,1.25294,0.96088,0.89545,0.96394,0.57209,1.20988,0.57988,1.30272,0.00056678,0.00056678,0.00056678
22,1814.9,1.44275,0.60744,1.24043,0.95105,0.92181,0.97076,0.59462,1.16637,0.51631,1.25034,0.000511769,0.000511769,0.000511769
23,1896.82,1.43002,0.59023,1.24388,0.9485,0.93148,0.97354,0.58589,1.18145,0.51319,1.27636,0.000456758,0.000456758,0.000456758
24,1979.31,1.42279,0.58441,1.2364,0.92504,0.92705,0.96016,0.57129,1.2162,0.54493,1.31259,0.000401747,0.000401747,0.000401747
25,2058.34,1.42253,0.58365,1.2301,0.94777,0.9335,0.97328,0.60547,1.1368,0.49533,1.22634,0.000346736,0.000346736,0.000346736
26,2140.79,1.40478,0.56917,1.22113,0.95166,0.93755,0.97456,0.60763,1.13957,0.49106,1.22779,0.000291725,0.000291725,0.000291725
27,2222.96,1.39918,0.56589,1.22029,0.95306,0.92824,0.9741,0.60474,1.14609,0.492,1.23853,0.000236714,0.000236714,0.000236714
28,2301.67,1.38786,0.55763,1.21664,0.94997,0.93983,0.97698,0.61047,1.12974,0.48386,1.22797,0.000181703,0.000181703,0.000181703
29,2380.19,1.38882,0.55046,1.21612,0.95682,0.93507,0.97675,0.61009,1.12422,0.47154,1.22078,0.000126692,0.000126692,0.000126692
30,2464.26,1.37433,0.54197,1.21037,0.95216,0.94038,0.97388,0.61135,1.12569,0.46817,1.22281,7.1681e-05,7.1681e-05,7.1681e-05
